subzone,planning_area,gap_2031,gap_younger_2031,gap_older_2031,primary_driver
Brickworks,Bukit Batok,3329.401745998417,2410.0043783780134,1127.7307009537374,Younger-band (18mo-4y) driven
Tampines North,Tampines,2766.300572795016,1983.165856641458,941.4680494868905,Younger-band (18mo-4y) driven
Yishun East,Yishun,2421.7674079377357,1686.1119910236594,1102.3220835807429,Mixed -- both bands short
Matilda,Punggol,2144.203422764427,1496.708001359233,814.1620880718607,Mixed -- both bands short
Fernvale,Sengkang,2108.3816434210057,1427.2115069850338,1022.8368031026386,Mixed -- both bands short
Plantation,Tengah,1858.7600000000002,1212.3927272727274,721.3672727272728,Mixed -- both bands short
Lower Seletar,Yishun,1446.859261310547,1003.5377564572657,526.6548381866146,Younger-band (18mo-4y) driven
Waterway East,Punggol,1418.5015590186126,1173.464979772058,511.7032459132207,Younger-band (18mo-4y) driven
Northshore,Punggol,1366.3783241212986,1057.0239437518674,526.0210470360979,Younger-band (18mo-4y) driven
Park,Tengah,1316.6400000000003,906.0436363636366,493.9296969696971,Mixed -- both bands short
Garden,Tengah,1271.0,852.0,510.66666666666663,Mixed -- both bands short
Keat Hong,Choa Chu Kang,954.5306332148248,756.4889531714139,356.3750133767442,Younger-band (18mo-4y) driven
Sembawang East,Sembawang,931.3011622008962,832.7254510455341,231.90904448869543,Younger-band (18mo-4y) driven
Woodlands West,Woodlands,908.540353391727,643.6094308274642,331.59758923092943,Younger-band (18mo-4y) driven
Woodlands South,Woodlands,778.4433768869749,470.983184855153,457.46019203182175,Mixed -- both bands short
Anchorvale,Sengkang,766.7646530033999,613.7664318879363,369.66488778213,Mixed -- both bands short
Trafalgar,Hougang,668.0000456632406,554.3383712337272,230.32834109618034,Younger-band (18mo-4y) driven
Bidadari,Toa Payoh,652.72,497.1854545454546,255.53454545454548,Younger-band (18mo-4y) driven
Tanjong Rhu,Kallang,556.0801085213816,351.65448327691513,221.09229191113306,Mixed -- both bands short
Woodlands Regional Centre,Woodlands,537.2400000000001,369.15272727272736,201.42060606060608,Mixed -- both bands short
Henderson Hill,Bukit Merah,536.0185026714585,351.99221708653425,217.35961891825764,Mixed -- both bands short
Singapore Polytechnic,Queenstown,521.6,345.56363636363636,192.70303030303032,Mixed -- both bands short
Ghim Moh,Queenstown,486.2467071001262,379.7339730907221,189.8460673427374,Younger-band (18mo-4y) driven
Senja,Bukit Panjang,481.74886891998835,341.98191288959094,231.43362269706404,Mixed -- both bands short
Macpherson,Geylang,375.66579727769977,315.05223335160554,143.94689725942766,Younger-band (18mo-4y) driven
Boon Lay Place,Jurong West,364.3617252505362,262.1869978691843,218.84139404801863,Mixed -- both bands short
Redhill,Bukit Merah,353.3995210152664,191.51389464802054,161.88562636724583,Mixed -- both bands short
Punggol Town Centre,Punggol,350.4798929176236,526.1760690132833,24.30382390434022,Younger-band (18mo-4y) driven
North Coast,Woodlands,344.6717218339601,242.10824718709978,152.5634746468603,Mixed -- both bands short
Tampines West,Tampines,327.97704898311895,526.5894621909667,143.0542534588185,Younger-band (18mo-4y) driven
Sungei Road,Rochor,316.21487843033844,195.65107585880813,120.56380257153032,Mixed -- both bands short
Kampong Bugis,Kallang,307.20590423680187,211.01516023100726,112.8574106724613,Younger-band (18mo-4y) driven
Queensway,Queenstown,284.59379005775185,186.01924460320637,98.57454545454547,Younger-band (18mo-4y) driven
Bukit Ho Swee,Bukit Merah,249.47054682172984,131.4743426565833,159.6628708318132,Mixed -- both bands short
Khatib,Yishun,247.61939588301993,176.46567360848798,104.48705560786537,Mixed -- both bands short
Teck Whye,Choa Chu Kang,216.53631660933297,202.2844080255013,80.9185752504984,Younger-band (18mo-4y) driven
Chong Boon,Ang Mo Kio,215.1571932100295,142.1859449666557,106.30458157670712,Mixed -- both bands short
Pasir Ris Central,Pasir Ris,214.48092597253117,216.9161149258423,80.89814438002196,Younger-band (18mo-4y) driven
Boon Teck,Toa Payoh,204.2760275147515,118.04709607687778,127.89559810454045,Mixed -- both bands short
Sennett,Toa Payoh,188.00331853567377,225.6300915164852,79.0398936858553,Younger-band (18mo-4y) driven
Telok Blangah Drive,Bukit Merah,187.71838112453122,189.32283505428364,65.06221273691418,Younger-band (18mo-4y) driven
Yuhua West,Jurong East,185.76807166502283,90.82740346510863,94.9406681999142,Mixed -- both bands short
Teban Gardens,Jurong East,184.09929263251138,140.5534989345922,93.5457936979193,Mixed -- both bands short
Tanglin Halt,Queenstown,182.1511104230674,128.64614776461792,70.17162932511619,Mixed -- both bands short
Toa Payoh West,Toa Payoh,181.1408433789668,140.69951596137412,73.77466075092596,Younger-band (18mo-4y) driven
Rivervale,Sengkang,154.2713473245285,108.90205989249807,270.36928743203043,Older-band (5-6y) driven
Kangkar,Hougang,139.38177866845012,119.2088683461368,103.50624365564653,Mixed -- both bands short
Cheng San,Ang Mo Kio,135.50043442301194,139.32720066714649,96.1732337558654,Mixed -- both bands short
Tiong Bahru,Bukit Merah,112.32143817899447,82.45151398487488,63.20325752745289,Mixed -- both bands short
Bedok South,Bedok,111.33133475974296,111.26106916759977,75.07026559214319,Mixed -- both bands short
Boon Keng,Kallang,106.79713249820304,82.29084691327876,57.8396189182576,Mixed -- both bands short
Taman Jurong,Jurong West,104.45047835523042,155.9430180872539,131.84079360130977,Mixed -- both bands short
Faber,Clementi,103.89332768388309,34.872331559298885,69.02099612458422,Older-band (5-6y) driven
Changi West,Changi,75.12531673068672,42.16548069302173,32.95983603766499,Mixed -- both bands short
Bendemeer,Kallang,71.80558348277009,179.95829279102577,58.513957358410835,Younger-band (18mo-4y) driven
Tiong Bahru Station,Bukit Merah,71.71291143401561,26.77224323410141,61.60733486658086,Older-band (5-6y) driven
Ang Mo Kio Town Centre,Ang Mo Kio,71.46335905131616,59.38534007268987,28.744685645292947,Younger-band (18mo-4y) driven
Flora Drive,Pasir Ris,61.17154126076019,16.230873060845965,61.60733486658086,Older-band (5-6y) driven
Alexandra North,Bukit Merah,60.04808098197515,97.29700456039262,-37.248923578417475,Younger-band (18mo-4y) driven
Dover,Queenstown,59.89274017776796,22.982652021313356,70.2434214897879,Older-band (5-6y) driven
Everton Park,Bukit Merah,50.82916935456174,17.30338127053983,33.5257880840219,Older-band (5-6y) driven
Compassvale,Sengkang,50.776016174759434,91.80293964455234,83.97307653020721,Mixed -- both bands short
Orange Grove,Newton,47.41487843033844,24.596530404262676,22.81834802607576,Mixed -- both bands short
Sembawang Straits,Sembawang,46.43646037548394,21.082740346510864,25.353720028973072,Mixed -- both bands short
Bishan East,Bishan,44.91677135180316,27.43064411531668,67.4861272364866,Older-band (5-6y) driven
Monk's Hill,Newton,41.365716369689316,21.082740346510864,20.282976023178456,Mixed -- both bands short
Institution Hill,River Valley,38.730845233263494,20.27580115503622,35.12171074489395,Mixed -- both bands short
Loyang East,Pasir Ris,36.29497236389471,21.082740346510864,15.212232017383842,Mixed -- both bands short
Lavender,Kallang,35.83753213720564,23.899015657677012,28.605183146195316,Mixed -- both bands short
Cairnhill,Newton,29.16789311486255,13.24822103953258,32.58633874199665,Older-band (5-6y) driven
Woodgrove,Woodlands,28.315902045019357,39.5623347505865,88.75356729443274,Older-band (5-6y) driven
Clementi North,Clementi,27.852202380973267,133.49318166386524,2.6923540504411676,Younger-band (18mo-4y) driven
Balestier,Novena,24.498484037553908,30.80574216869354,43.69274186886037,Mixed -- both bands short
Nee Soon,Yishun,23.21823018774197,10.541370173255432,12.676860014486536,Mixed -- both bands short
Telok Blangah Rise,Bukit Merah,21.86216013430834,2.9826520213133563,18.87950811299497,Older-band (5-6y) driven
China Square,Outram,18.147486181947354,10.541370173255432,7.606116008691921,Mixed -- both bands short
Mount Pleasant,Novena,18.147486181947354,10.541370173255432,7.606116008691921,Mixed -- both bands short
Turf Club,Sungei Kadut,14.633696124195541,7.027580115503621,7.606116008691921,Mixed -- both bands short
Bugis,Downtown Core,14.633696124195541,7.027580115503621,7.606116008691921,Mixed -- both bands short
Lakeside (Leisure),Jurong East,12.098324121298237,7.027580115503621,5.070744005794614,Mixed -- both bands short
Tanglin,Orchard,12.098324121298237,7.027580115503621,5.070744005794614,Mixed -- both bands short
Tanjong Pagar,Downtown Core,12.098324121298237,7.027580115503621,5.070744005794614,Mixed -- both bands short
Paterson,River Valley,8.584534063546425,3.5137900577518106,5.070744005794614,Mixed -- both bands short
Nicoll,Downtown Core,6.0491620606491185,3.5137900577518106,2.535372002897307,Mixed -- both bands short
Fort Canning,Museum,6.0491620606491185,3.5137900577518106,2.535372002897307,Mixed -- both bands short
Somerset,Orchard,6.0491620606491185,3.5137900577518106,2.535372002897307,Mixed -- both bands short
Changi Point,Changi,6.0491620606491185,3.5137900577518106,2.535372002897307,Mixed -- both bands short
Lim Chu Kang,Lim Chu Kang,3.5137900577518106,3.5137900577518106,0.0,Younger-band (18mo-4y) driven
Selegie,Rochor,2.535372002897307,0.0,2.535372002897307,Older-band (5-6y) driven
Commonwealth,Queenstown,-0.0994991335285107,-10.806939191474648,10.707440057946144,Older-band (5-6y) driven
Hougang East,Hougang,-10.27379578938519,77.87544785424615,-54.81591031029791,Younger-band (18mo-4y) driven
Yew Tee,Choa Chu Kang,-23.899243598162798,-80.00818850939021,106.10894491122741,Older-band (5-6y) driven
Saujana,Bukit Panjang,-45.03215874077182,4.0960887782752025,67.5384191476196,Older-band (5-6y) driven
